ProductCode,OptionIDs
SAR-BAMBONI-HAT,"1459,1012"
SAR-BMB-HATS,"1459,1012"
SAR-BAMBONI-SNUGGLER,"1463,1091,1119,1462"
SAR-BMB-SNUGGLER,"1463,1091,1119,1462"
