ProductCode,ProductName,Url,BasePrice,OptionCategory,OptionID,OptionText,LivePriceDiff
"SAR-LUSH-MINI","Lush Mini Blanket","https://www.mccabestheaterandliving.com/product-p/sar-lush-mini.htm","25","Choose Color*:","1053","Navy","0"
"SAR-LUSH-MINI","Lush Mini Blanket","https://www.mccabestheaterandliving.com/product-p/sar-lush-mini.htm","25","Choose Color*:","1071","Primrose","0"
"SAR-LUSH-MINI","Lush Mini Blanket","https://www.mccabestheaterandliving.com/product-p/sar-lush-mini.htm","25","Choose Color*:","1068","Rosy","0"
"SAR-LUSH-MINI","Lush Mini Blanket","https://www.mccabestheaterandliving.com/product-p/sar-lush-mini.htm","25","Choose Color*:","1073","Seagrass","0"
"SAR-LUSH-MINI","Lush Mini Blanket","https://www.mccabestheaterandliving.com/product-p/sar-lush-mini.htm","25","Choose Color*:","1063","Storm Cloud","0"
"SAR-BATMAN-MNKY-LUSH","Batman™ Minky/Lush Blanket","https://www.mccabestheaterandliving.com/product-p/sar-batman-mnky-lush.htm","32","SELECT___SAR-BATMAN-MNKY-LUSH___58","1202","Mini","0"
"SAR-BATMAN-MNKY-LUSH","Batman™ Minky/Lush Blanket","https://www.mccabestheaterandliving.com/product-p/sar-batman-mnky-lush.htm","32","SELECT___SAR-BATMAN-MNKY-LUSH___58","1203","Receiving [Additional $33.00]","33"
"SAR-BATMAN-MNKY-LUSH","Batman™ Minky/Lush Blanket","https://www.mccabestheaterandliving.com/product-p/sar-batman-mnky-lush.htm","32","SELECT___SAR-BATMAN-MNKY-LUSH___58","1204","Toddler [Additional $63.00]","63"
"SAR-BATMAN-MNKY-LUSH","Batman™ Minky/Lush Blanket","https://www.mccabestheaterandliving.com/product-p/sar-batman-mnky-lush.htm","32","SELECT___SAR-BATMAN-MNKY-LUSH___58","1205","XL [Additional $147.00]","147"
"SAR-JL-JL-MSLN-LUSH","Justice League™ Muslin/Lush Blanket","https://www.mccabestheaterandliving.com/product-p/sar-jl-jl-msln-lush.htm","32","SELECT___SAR-JL-JL-MSLN-LUSH___58","1367","Quilt [Additional $4,300.00]","4300"
"SAR-JL-JL-MSLN-LUSH","Justice League™ Muslin/Lush Blanket","https://www.mccabestheaterandliving.com/product-p/sar-jl-jl-msln-lush.htm","32","SELECT___SAR-JL-JL-MSLN-LUSH___58","1368","XL [Additional $15,700.00]","15700"
"SAR-MNKY-PLAY-MAT","Minky Play Mat","https://www.mccabestheaterandliving.com/product-p/sar-mnky-play-mat.htm","32","Choose Color*:","1106","Cameo","0"
"SAR-MNKY-PLAY-MAT","Minky Play Mat","https://www.mccabestheaterandliving.com/product-p/sar-mnky-play-mat.htm","32","Choose Color*:","1060","Hazelnut","0"
"SAR-MNKY-PLAY-MAT","Minky Play Mat","https://www.mccabestheaterandliving.com/product-p/sar-mnky-play-mat.htm","32","Choose Color*:","1012","Moonbeam","0"
"SAR-SUPERMAN-MNKY-LUSH","Superman™ Minky/Lush Blanket","https://www.mccabestheaterandliving.com/product-p/sar-superman-mnky-lush.htm","32","SELECT___SAR-SUPERMAN-MNKY-LUSH___58","1202","Mini","0"
"SAR-SUPERMAN-MNKY-LUSH","Superman™ Minky/Lush Blanket","https://www.mccabestheaterandliving.com/product-p/sar-superman-mnky-lush.htm","32","SELECT___SAR-SUPERMAN-MNKY-LUSH___58","1203","Receiving [Additional $33.00]","33"
"SAR-SUPERMAN-MNKY-LUSH","Superman™ Minky/Lush Blanket","https://www.mccabestheaterandliving.com/product-p/sar-superman-mnky-lush.htm","32","SELECT___SAR-SUPERMAN-MNKY-LUSH___58","1204","Toddler [Additional $63.00]","63"
"SAR-SUPERMAN-MNKY-LUSH","Superman™ Minky/Lush Blanket","https://www.mccabestheaterandliving.com/product-p/sar-superman-mnky-lush.htm","32","SELECT___SAR-SUPERMAN-MNKY-LUSH___58","1205","XL [Additional $147.00]","147"
"SAR-WIZARDIN-WORLD-CHARM","Wizarding World™ Charm Minky/Lush Blanket","https://www.mccabestheaterandliving.com/product-p/sar-wizardin-world-charm.htm","32","SELECT___SAR-WIZARDIN-WORLD-CHARM___58","1202","Mini","0"
"SAR-WIZARDIN-WORLD-CHARM","Wizarding World™ Charm Minky/Lush Blanket","https://www.mccabestheaterandliving.com/product-p/sar-wizardin-world-charm.htm","32","SELECT___SAR-WIZARDIN-WORLD-CHARM___58","1203","Receiving [Additional $33.00]","33"
"SAR-WIZARDIN-WORLD-CHARM","Wizarding World™ Charm Minky/Lush Blanket","https://www.mccabestheaterandliving.com/product-p/sar-wizardin-world-charm.htm","32","SELECT___SAR-WIZARDIN-WORLD-CHARM___58","1204","Toddler [Additional $63.00]","63"
"SAR-WIZARDIN-WORLD-CHARM","Wizarding World™ Charm Minky/Lush Blanket","https://www.mccabestheaterandliving.com/product-p/sar-wizardin-world-charm.htm","32","SELECT___SAR-WIZARDIN-WORLD-CHARM___58","1205","XL [Additional $147.00]","147"
"SAR-BMBU-RYN-MSLN-PILLOWCA","Bamboo Rayon Muslin Pillowcase Set","https://www.mccabestheaterandliving.com/product-p/sar-bmbu-ryn-msln-pillowca.htm","39","Choose Color*:","1145","Botanica","0"
"SAR-BMBU-RYN-MSLN-PILLOWCA","Bamboo Rayon Muslin Pillowcase Set","https://www.mccabestheaterandliving.com/product-p/sar-bmbu-ryn-msln-pillowca.htm","39","Choose Color*:","1146","Cambridge Stripe","0"
"SAR-BMBU-RYN-MSLN-PILLOWCA","Bamboo Rayon Muslin Pillowcase Set","https://www.mccabestheaterandliving.com/product-p/sar-bmbu-ryn-msln-pillowca.htm","39","Choose Color*:","1147","Mini Swiss","0"
"SAR-HEIRLOOM-COTTON-KNT-SETS","Heirloom Cotton Knit Set","https://www.mccabestheaterandliving.com/product-p/sar-heirloom-cotton-knt-sets.htm","40","Choose Color*:","1355","Pink","0"
"SAR-HEIRLOOM-COTTON-KNT-SETS","Heirloom Cotton Knit Set","https://www.mccabestheaterandliving.com/product-p/sar-heirloom-cotton-knt-sets.htm","40","Choose Color*:","1354","Tan","0"
"SAR-HEIRLOOM-COTTON-KNT-SETS","Heirloom Cotton Knit Set","https://www.mccabestheaterandliving.com/product-p/sar-heirloom-cotton-knt-sets.htm","40","SELECT___SAR-HEIRLOOM-COTTON-KNT-SETS___58","1356","0-3 Months","0"
"SAR-HEIRLOOM-COTTON-KNT-SETS","Heirloom Cotton Knit Set","https://www.mccabestheaterandliving.com/product-p/sar-heirloom-cotton-knt-sets.htm","40","SELECT___SAR-HEIRLOOM-COTTON-KNT-SETS___58","1357","3-6 Months","0"
"SAR-HEIRLOOM-COTTON-KNT-SETS","Heirloom Cotton Knit Set","https://www.mccabestheaterandliving.com/product-p/sar-heirloom-cotton-knt-sets.htm","40","SELECT___SAR-HEIRLOOM-COTTON-KNT-SETS___58","1358","6-12 Months","0"
"SAR-SATIN-BACK-TOD","Satin Back Toddler Blanket","https://www.mccabestheaterandliving.com/product-p/sar-satin-back-tod.htm","69","Choose Color*:","1169","Camo","0"
"SAR-SATIN-BACK-TOD","Satin Back Toddler Blanket","https://www.mccabestheaterandliving.com/product-p/sar-satin-back-tod.htm","69","Choose Color*:","1168","Cedar","0"
"SAR-SATIN-BACK-TOD","Satin Back Toddler Blanket","https://www.mccabestheaterandliving.com/product-p/sar-satin-back-tod.htm","69","Choose Color*:","1164","Dainty Floral","0"
"SAR-SATIN-BACK-TOD","Satin Back Toddler Blanket","https://www.mccabestheaterandliving.com/product-p/sar-satin-back-tod.htm","69","Choose Color*:","1167","Daisy","0"
"SAR-SATIN-BACK-TOD","Satin Back Toddler Blanket","https://www.mccabestheaterandliving.com/product-p/sar-satin-back-tod.htm","69","Choose Color*:","1170","Flora","0"
"SAR-SATIN-BACK-TOD","Satin Back Toddler Blanket","https://www.mccabestheaterandliving.com/product-p/sar-satin-back-tod.htm","69","Choose Color*:","1163","Navy Twinkle Star","0"
"SAR-SATIN-BACK-TOD","Satin Back Toddler Blanket","https://www.mccabestheaterandliving.com/product-p/sar-satin-back-tod.htm","69","Choose Color*:","1171","Sea Glass","0"
"SAR-SATIN-BACK-TOD","Satin Back Toddler Blanket","https://www.mccabestheaterandliving.com/product-p/sar-satin-back-tod.htm","69","Choose Color*:","1165","Sun and Sea","0"
"SAR-SATIN-BACK-TOD","Satin Back Toddler Blanket","https://www.mccabestheaterandliving.com/product-p/sar-satin-back-tod.htm","69","Choose Color*:","1166","Tulip","0"
