id,optioncatid,optionsdesc,pricediff,applytoproductcodes
1337,23,Amelia,17.9,SAR-BMBU-RYN-MSLN-XL-LG-4
1338,23,Jack,17.9,SAR-BMBU-RYN-MSLN-XL-LG-4
1339,23,Simple Buds,13,SAR-COTTON-MSLN-4-LAYER
1340,23,Pine,13,SAR-COTTON-MSLN-4-LAYER
1257,23,Amelia,17.9,
1258,23,Jack,17.9,
1259,23,Simple Buds,13,
1260,23,Pine,13,
1465,23,Classic Leopard,0,SAR-SNUGGLER
1496,58,Swaddle,14,SAR-STRETCHY-SWADDLES-HATS
1497,23,Juniper,0,SAR-STRETCHY-SWADDLES-HATS
