filename,bytes,mtime,local_path
Tyler-Bar-Set-altview19.jpg,265574,2026-07-20T10:52:40,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\Tyler-Bar-Set-altview19.jpg
Tyler-Bar-Set-altview18.jpg,197772,2026-07-20T10:52:40,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\Tyler-Bar-Set-altview18.jpg
Tyler-Bar-Set-altview17.jpg,346412,2026-07-20T10:52:40,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\Tyler-Bar-Set-altview17.jpg
Tyler-Bar-Set-altview16.jpg,133643,2026-07-20T10:52:40,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\Tyler-Bar-Set-altview16.jpg
Tyler-Bar-Set-altview15.jpg,194890,2026-07-20T10:52:40,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\Tyler-Bar-Set-altview15.jpg
Tyler-Bar-Set-altview14.jpg,185284,2026-07-20T10:52:40,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\Tyler-Bar-Set-altview14.jpg
Tyler-Bar-Set-altview13.jpg,352947,2026-07-20T10:52:40,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\Tyler-Bar-Set-altview13.jpg
Tyler-Bar-Set-altview12.jpg,425026,2026-07-20T10:52:40,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\Tyler-Bar-Set-altview12.jpg
Tyler-Bar-Set-altview11.jpg,627161,2026-07-20T10:52:40,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\Tyler-Bar-Set-altview11.jpg
Tyler-Bar-Set-altview10.jpg,742031,2026-07-20T10:52:40,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\Tyler-Bar-Set-altview10.jpg
Tyler-Bar-Set-altview1.jpg,1034703,2026-07-20T10:52:40,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\Tyler-Bar-Set-altview1.jpg
Tamara-Outdoor-Sectional-altview9.jpg,347547,2026-07-20T10:52:40,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\Tamara-Outdoor-Sectional-altview9.jpg
Tamara-Outdoor-Sectional-altview8.jpg,251671,2026-07-20T10:52:40,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\Tamara-Outdoor-Sectional-altview8.jpg
Tamara-Outdoor-Sectional-altview7.jpg,408629,2026-07-20T10:52:40,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\Tamara-Outdoor-Sectional-altview7.jpg
Tamara-Outdoor-Sectional-altview6.jpg,699688,2026-07-20T10:52:40,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\Tamara-Outdoor-Sectional-altview6.jpg
Tamara-Outdoor-Sectional-altview5.jpg,679764,2026-07-20T10:52:40,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\Tamara-Outdoor-Sectional-altview5.jpg
Tamara-Outdoor-Sectional-altview4.jpg,330552,2026-07-20T10:52:39,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\Tamara-Outdoor-Sectional-altview4.jpg
Tamara-Outdoor-Sectional-altview31.jpg,793980,2026-07-20T10:52:39,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\Tamara-Outdoor-Sectional-altview31.jpg
Tamara-Outdoor-Sectional-altview30.jpg,440089,2026-07-20T10:52:39,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\Tamara-Outdoor-Sectional-altview30.jpg
Tamara-Outdoor-Sectional-altview3.jpg,628329,2026-07-20T10:52:39,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\Tamara-Outdoor-Sectional-altview3.jpg
Tamara-Outdoor-Sectional-altview29.jpg,394029,2026-07-20T10:52:39,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\Tamara-Outdoor-Sectional-altview29.jpg
Tamara-Outdoor-Sectional-altview28.jpg,669802,2026-07-20T10:52:39,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\Tamara-Outdoor-Sectional-altview28.jpg
Tamara-Outdoor-Sectional-altview27.jpg,503637,2026-07-20T10:52:39,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\Tamara-Outdoor-Sectional-altview27.jpg
Tamara-Outdoor-Sectional-altview26.jpg,265789,2026-07-20T10:52:39,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\Tamara-Outdoor-Sectional-altview26.jpg
Tamara-Outdoor-Sectional-altview25.jpg,486088,2026-07-20T10:52:39,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\Tamara-Outdoor-Sectional-altview25.jpg
Tamara-Outdoor-Sectional-altview24.jpg,489823,2026-07-20T10:52:39,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\Tamara-Outdoor-Sectional-altview24.jpg
Tamara-Outdoor-Sectional-altview23.jpg,466254,2026-07-20T10:52:39,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\Tamara-Outdoor-Sectional-altview23.jpg
Tamara-Outdoor-Sectional-altview22.jpg,519947,2026-07-20T10:52:39,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\Tamara-Outdoor-Sectional-altview22.jpg
Tamara-Outdoor-Sectional-altview21.jpg,751389,2026-07-20T10:52:39,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\Tamara-Outdoor-Sectional-altview21.jpg
