productCode,issueType,file,optionId,label,kind,local,cdnStatus,note
SAR-BATMAN-DBL-LAYER-BMB,duplicate_local,SAR-BATMAN-DBL-LAYER-BMB-1510-S.jpg,,,,,,"SAR-BATMAN-DBL-LAYER-BMB-1509-S.jpg,SAR-BATMAN-DBL-LAYER-BMB-1511-S.jpg,SAR-BATMAN-DBL-LAYER-BMB-1512-S.jpg"
SAR-BATMAN-DBL-LAYER-BMB,duplicate_local,SAR-BATMAN-DBL-LAYER-BMB-1511-S.jpg,,,,,,"SAR-BATMAN-DBL-LAYER-BMB-1509-S.jpg,SAR-BATMAN-DBL-LAYER-BMB-1510-S.jpg,SAR-BATMAN-DBL-LAYER-BMB-1512-S.jpg"
SAR-BATMAN-DBL-LAYER-BMB,duplicate_local,SAR-BATMAN-DBL-LAYER-BMB-1512-S.jpg,,,,,,"SAR-BATMAN-DBL-LAYER-BMB-1509-S.jpg,SAR-BATMAN-DBL-LAYER-BMB-1510-S.jpg,SAR-BATMAN-DBL-LAYER-BMB-1511-S.jpg"
SAR-BATMAN-MNKY-LUSH,missing_cdn,SAR-BATMAN-MNKY-LUSH-1202-T.jpg,1202,Mini,size,True,404,
SAR-BATMAN-MNKY-LUSH,missing_cdn,SAR-BATMAN-MNKY-LUSH-1202-S.jpg,1202,Mini,size,True,404,
SAR-BATMAN-MNKY-LUSH,missing_cdn,SAR-BATMAN-MNKY-LUSH-1204-S.jpg,1204,Toddler [Additional $63.00],size,True,404,
SAR-BATMAN-MNKY-LUSH,missing_cdn,SAR-BATMAN-MNKY-LUSH-1205-T.jpg,1205,XL [Additional $147.00],size,True,404,
SAR-BATMAN-MNKY-LUSH,missing_cdn,SAR-BATMAN-MNKY-LUSH-1205-S.jpg,1205,XL [Additional $147.00],size,True,404,
SAR-BATMAN-MNKY-LUSH,missing_local,SAR-BATMAN-MNKY-LUSH-altview9.jpg,,,altview,,,
SAR-BATMAN-MNKY-LUSH,missing_local,SAR-BATMAN-MNKY-LUSH-altview10.jpg,,,altview,,,
SAR-BATMAN-MNKY-LUSH,missing_local,SAR-BATMAN-MNKY-LUSH-altview11.jpg,,,altview,,,
SAR-BATMAN-MNKY-LUSH,missing_local,SAR-BATMAN-MNKY-LUSH-altview12.jpg,,,altview,,,
SAR-BMB-SETS,missing_cdn,SAR-BMB-SETS-1446-T.jpg,1446,Large,size,False,404,
SAR-BMB-SETS,missing_local,SAR-BMB-SETS-1446-T.jpg,1446,Large,size,False,404,
SAR-BMB-SETS,missing_cdn,SAR-BMB-SETS-1446-S.jpg,1446,Large,size,False,404,
SAR-BMB-SETS,missing_local,SAR-BMB-SETS-1446-S.jpg,1446,Large,size,False,404,
SAR-BMB-SETS,missing_cdn,SAR-BMB-SETS-1445-T.jpg,1445,Medium,size,False,404,
SAR-BMB-SETS,missing_local,SAR-BMB-SETS-1445-T.jpg,1445,Medium,size,False,404,
SAR-BMB-SETS,missing_cdn,SAR-BMB-SETS-1445-S.jpg,1445,Medium,size,False,404,
SAR-BMB-SETS,missing_local,SAR-BMB-SETS-1445-S.jpg,1445,Medium,size,False,404,
SAR-BMB-SETS,missing_cdn,SAR-BMB-SETS-1443-T.jpg,1443,Small,size,False,404,
SAR-BMB-SETS,missing_local,SAR-BMB-SETS-1443-T.jpg,1443,Small,size,False,404,
SAR-BMB-SETS,missing_cdn,SAR-BMB-SETS-1443-S.jpg,1443,Small,size,False,404,
SAR-BMB-SETS,missing_local,SAR-BMB-SETS-1443-S.jpg,1443,Small,size,False,404,
SAR-BMB-SETS,missing_local,SAR-BMB-SETS-altview9.jpg,,,altview,,,
SAR-BMB-SETS,missing_local,SAR-BMB-SETS-altview10.jpg,,,altview,,,
SAR-BMB-SETS,missing_local,SAR-BMB-SETS-altview11.jpg,,,altview,,,
SAR-BMB-SETS,missing_local,SAR-BMB-SETS-altview12.jpg,,,altview,,,
SAR-BMB-SNUGGLER,missing_cdn,SAR-BMB-SNUGGLER-1462-T.jpg,1462,Adult,size,False,404,
SAR-BMB-SNUGGLER,missing_local,SAR-BMB-SNUGGLER-1462-T.jpg,1462,Adult,size,False,404,
SAR-BMB-SNUGGLER,missing_cdn,SAR-BMB-SNUGGLER-1462-S.jpg,1462,Adult,size,False,404,
SAR-BMB-SNUGGLER,missing_local,SAR-BMB-SNUGGLER-1462-S.jpg,1462,Adult,size,False,404,
SAR-BMBU-RYN-MSLN-XL-LG-4,missing_cdn,SAR-BMBU-RYN-MSLN-XL-LG-4-1337-S.jpg,1337,Amelia,color,True,404,
SAR-BMBU-RYN-MSLN-XL-LG-4,missing_cdn,SAR-BMBU-RYN-MSLN-XL-LG-4-1338-T.jpg,1338,Jack,color,True,404,
SAR-BMBU-RYN-MSLN-XL-LG-4,missing_cdn,SAR-BMBU-RYN-MSLN-XL-LG-4-1338-S.jpg,1338,Jack,color,True,404,
SAR-COTTON-MSLN-4-LAYER,missing_cdn,SAR-COTTON-MSLN-4-LAYER-1340-S.jpg,1340,Pine,color,True,404,
SAR-COTTON-MSLN-4-LAYER,missing_cdn,SAR-COTTON-MSLN-4-LAYER-1339-S.jpg,1339,Simple Buds,color,True,404,
SAR-COTTON-MSLN-4-LAYER,duplicate_local,SAR-COTTON-MSLN-4-LAYER-1340-T.jpg,,,,,,SAR-COTTON-MSLN-4-LAYER-1160-T.jpg
SAR-COTTON-MSLN-4-LAYER,duplicate_local,SAR-COTTON-MSLN-4-LAYER-1160-T.jpg,,,,,,SAR-COTTON-MSLN-4-LAYER-1340-T.jpg
SAR-COTTON-MSLN-4-LAYER,duplicate_local,SAR-COTTON-MSLN-4-LAYER-1340-S.jpg,,,,,,SAR-COTTON-MSLN-4-LAYER-1160-S.jpg
SAR-COTTON-MSLN-4-LAYER,duplicate_local,SAR-COTTON-MSLN-4-LAYER-1160-S.jpg,,,,,,SAR-COTTON-MSLN-4-LAYER-1340-S.jpg
SAR-COTTON-MSLN-4-LAYER,duplicate_local,SAR-COTTON-MSLN-4-LAYER-1159-T.jpg,,,,,,SAR-COTTON-MSLN-4-LAYER-1339-T.jpg
SAR-COTTON-MSLN-4-LAYER,duplicate_local,SAR-COTTON-MSLN-4-LAYER-1339-T.jpg,,,,,,SAR-COTTON-MSLN-4-LAYER-1159-T.jpg
SAR-COTTON-MSLN-4-LAYER,duplicate_local,SAR-COTTON-MSLN-4-LAYER-1159-S.jpg,,,,,,SAR-COTTON-MSLN-4-LAYER-1339-S.jpg
SAR-COTTON-MSLN-4-LAYER,duplicate_local,SAR-COTTON-MSLN-4-LAYER-1339-S.jpg,,,,,,SAR-COTTON-MSLN-4-LAYER-1159-S.jpg
SAR-COZY-BMB-ROBES,duplicate_local,SAR-COZY-BMB-ROBES-1219-T.jpg,,,,,,SAR-COZY-BMB-ROBES-1218-T.jpg
SAR-COZY-BMB-ROBES,duplicate_local,SAR-COZY-BMB-ROBES-1218-T.jpg,,,,,,SAR-COZY-BMB-ROBES-1219-T.jpg
