ProductCode,VariantLabel,OptionID,ThumbFile,SmallFile,SaranoniImageURL,SaranoniPrice,Notes
SAR-WEARABLE,Feather,1049,SAR-WEARABLE-1049-T.jpg,SAR-WEARABLE-1049-S.jpg,https://cdn.shopify.com/s/files/1/2047/7533/products/wearable-blankets-842490.jpg,59.00,Color swatch/main image for wearable
SAR-WEARABLE,Cream,1154,SAR-WEARABLE-1154-T.jpg,SAR-WEARABLE-1154-S.jpg,https://cdn.shopify.com/s/files/1/2047/7533/products/wearable-blankets-244904.jpg,59.00,Color swatch/main image for wearable
SAR-WEARABLE,Hazel,1155,SAR-WEARABLE-1155-T.jpg,SAR-WEARABLE-1155-S.jpg,https://cdn.shopify.com/s/files/1/2047/7533/products/wearable-blankets-308947.jpg,59.00,Color swatch/main image for wearable
SAR-WEARABLE,Small Minky,1411,SAR-WEARABLE-1411-T.jpg,SAR-WEARABLE-1411-S.jpg,https://cdn.shopify.com/s/files/1/2047/7533/products/wearable-blankets-842490.jpg,36.88,Size option image (Small Minky / Feather)
SAR-WEARABLE,Medium Minky,1412,SAR-WEARABLE-1412-T.jpg,SAR-WEARABLE-1412-S.jpg,https://cdn.shopify.com/s/files/1/2047/7533/products/wearable-blankets-486533.jpg,38.75,Size option image (Medium Minky / Feather)
SAR-WEARABLE,Small Faux Fur,1413,SAR-WEARABLE-1413-T.jpg,SAR-WEARABLE-1413-S.jpg,https://cdn.shopify.com/s/files/1/2047/7533/products/wearable-blankets-932387.jpg,36.88,Size option image (Small Faux Fur / Feather)
SAR-WEARABLE,Medium Faux Fur,1414,SAR-WEARABLE-1414-T.jpg,SAR-WEARABLE-1414-S.jpg,https://cdn.shopify.com/s/files/1/2047/7533/products/wearable-blankets-945439.jpg,38.75,Size option image (Medium Faux Fur / Feather)
