productcode,productname,productprice,productweight,freeshipping,availability,productdescription,techspecs
SS-RL600N-GT-C6PC,"Rylie 6-Piece Counter Game Dining Set, Natural Finish",,,N,Available,"Dive into a mix of classic fun and modern chic with the Rylie Folding Game Counter Dining Set. This natural finished set features swivel Captain’s Chairs in camel vegan leather, accented with stylish copper nailheads. The star is the removable game top, decked out with 16 cupholders and eight chip holders for ultimate game nights. Post-play, it transforms into a charming dining spot. Crafted from durable oak veneers and hardwoods, this set seats four comfortably and assembles easily, making it a perfect blend of form and function.","• Set includes the Rylie Folding Game Top, the Rylie 48-inch Counter Dining Table and 4 Rylie Counter Captains Chairs. All in natural finish with camel vegan leather. Each item also sold separately..
• Expertly crafted of oak veneers, poplar and Asian hardwood solids and engineered woods, foam and vegan leather
• Kiln-dried wood helps prevent warping, splitting, cracking and developing mildew.
• The removable Folding Game Top has 16 cupholders and eight chip holders make for great multi-player game entertainment
• Folding game top sits on top of the 48-inch round Rylie table for game night and then can be removed and stored in the included carry bag to use the table for dining
• Four undertop felt-lined drawers offer additional storage for dining or game essentials
• The 48-inch round table fosters a cozy, intimate setting, perfect for close-knit gatherings and conversations.
• The 36-inch Counter Height Table offers versatility for dining or working, perfectly suited for standing activities.
• Beautiful inlaid pinwheel oak veneer pattern creates a stunning work or dining surface
• Table seats up to four comfortably
• Adjustable levelers add stability on uneven surfaces.
• 360-degree swivel mechanism provides greater mobility, reduces strain on the body, and adds an element of playfulness to your decor.
• Built with solid wood legs to ensure lasting durability, stability, and timeless elegance for every dining experience.
• The camel colored vegan leather counter chair, accented with copper nailhead trim, offers a sophisticated look with the soft touch and durability of leather, yet is easy to maintain and resistant to wear and tear
• The Counter Stool’s 24-inch high seat effortlessly complements 36-inch high counters, ensuring an ideal seating experience.
• Front and side stretchers provide sturdy support and stability for the 24″ seat height counter stool
• The wood is hand-stained in a multi-step natural glaze that beautifully highlights the natural grain and knots of the wood
• Fabric Content: in 69% polyurethane, 28% polyester and 3% viscose
• Easy Assembly, all tools included"
SS-RL500K-GT-D6PC,"Rylie 6-Piece Game Dining Set, Black Finish",,,N,Available,"Get ready for game night with the Rylie Black Finish 6-Piece Game Dining Set! This set includes a 48-inch round table with a folding game top and four comfy castered Captain’s chairs in sand vegan leather, jazzed up with copper nailhead trim. The folding game top offers eight stations with dual cupholders and chip holders. When the games are done, remove the top, tuck it away in its carry case, and you’ve got a sleek dining table ready for four.

 The glossy black finish gives it a modern edge, perfect for any room. Each piece is crafted from oak veneers, poplar, and Asian hardwoods, kiln-dried to avoid warping or mildew. The pinwheel oak veneer pattern on the table adds elegance, making it great for dining or working. The chairs, with full rotation and solid wood legs, are stylish and practical.","• Set includes the Rylie 48-inch round table top, the Rylie Trestle Table Base, Folding Game Table Top and 4 Black Captains Chair. Each item also sold separately.
• Crafted of oak veneers, poplar and Asian hardwood solids and engineered woods
• Kiln-dried wood helps prevent warping, splitting, cracking and developing mildew.
• Removable Folding Game Top has 16 cupholders and eight chip holders make for great multi-player game entertainment
• Folding Game Top sits on top of the 48-inch round Rylie table for game night and then can be removed and stored in the included carry bag to use the table for dining
• The 48-inch round table fosters a cozy, intimate setting, perfect for close-knit gatherings and conversations.
• Beautiful inlaid pinwheel oak veneer pattern creates a stunning work or dining surface
• Table seats up to four comfortably
• Versatile side chair suitable for dining, office, or living areas, serving as a stylish accent piece
• Fully rotating casters on the chair offer enhanced mobility and convenience, allowing for smooth, effortless movement across various floor surfaces
• Chair is built with solid wood legs to ensure lasting durability, stability, and timeless elegance for every dining experience.
• The sand colored vegan leather chair, accented with copper nailhead trim, offers a sophisticated look with the soft touch and durability of leather, yet is easy to maintain and resistant to wear and tear
• The wood is hand-stained in a natural multi-step glossy black finish to highlight the natural grain and knots of the wood
• Fabric Content: in 69% polyurethane, 28% polyester and 3% viscose
• Adjustable levelers add stability on uneven surfaces.
• Easy Assembly, all tools included"
SS-RL500N-GT-D6PC,"Rylie 6-Piece Game Dining Set, Natural Finish",,,N,Available,"The Rylie 6-piece Game Dining Set presents a versatile ensemble for both game nights and stylish dining. This set includes the Rylie Folding Game Table Top, a 48-inch round Dining Table, and four Rylie castered Captain’s Chairs in a natural finish with camel vegan leather. Each piece, available separately, is crafted from oak veneers, poplar, and Asian hardwoods, ensuring durability and resistance to warping or mildew.

 The game top, featuring 16 cupholders and eight chip holders, easily transforms your dining table into a multi-player game station. Post-game, simply store the top in its carry bag to reveal a stunning dining surface with an inlaid pinwheel oak veneer pattern. The table’s natural finish highlights the wood’s grain, creating a warm, inviting setting for up to four people. The chairs, with full rotation casters, offer seamless mobility and comfort, accented with copper nailhead trim for an elegant touch. This set combines practicality with elegance, ideal for any home. Easy assembly with all tools included.","• Set includes the Rylie Folding Game Table Top, the Rylie 48-inch round Dining Table and 4 Rylie castered Captains Chairs in natural finish with camel vegan leather. Each item also sold separately.
• Crafted of oak veneers, poplar and Asian hardwood solids and engineered woods
• Kiln-dried wood helps prevent warping, splitting, cracking and developing mildew.
• Removable Folding Game Top has 16 cupholders and eight chip holders make for great multi-player game entertainment
• Folding Game Top sits on top of the 48-inch round Rylie table for game night and then can be removed and stored in the included carry bag to use the table for dining
• The 48-inch round table fosters a cozy, intimate setting, perfect for close-knit gatherings and conversations.
• The wood is hand-stained in a natural multi-step natural finish that beautifully highlights the natural grain and knots of the wood
• Beautiful inlaid pinwheel oak veneer pattern creates a stunning work or dining surface
• Table seats up to four comfortably
• Versatile side chair suitable for dining, office, or living areas, serving as a stylish accent piece
• Fully rotating casters on the chair offer enhanced mobility and convenience, allowing for smooth, effortless movement across various floor surfaces
• Chair is built with solid wood legs to ensure lasting durability, stability, and timeless elegance for every dining experience.
• The sand colored vegan leather chair, accented with copper nailhead trim, offers a sophisticated look with the soft touch and durability of leather, yet is easy to maintain and resistant to wear and tear
• The wood is hand-stained in a natural multi-step glossy black finish to highlight the natural grain and knots of the wood
• Fabric Content: in 69% polyurethane, 28% polyester and 3% viscose
• Adjustable levelers add stability on uneven surfaces.
• Easy Assembly, all tools included"
