productcode,productname,productprice,productweight,freeshipping,availability,productdescription,techspecs
SS-ANE500NS,Annie Chocolate Velvet Barrel Chair w/Casters,,,N,Available,"Meet the Annie Velvet Barrel Chair in cotton color, where style meets everyday ease. Designed with sleek tuxedo arms and a smooth, curved silhouette, it brings a modern, tailored look to any space. Four independent casters make it easy to move wherever you need extra seating. Wrapped in soft cotton-colored velvet, it feels incredibly luxurious to the touch, while the 100% polyester fabric keeps it durable and easy to care for-perfect for real life without sacrificing comfort or sophistication.","* Crafted of 100% polyester fabric in ivory color, pine and poplar solids, engineered wood and foam
* Chair is solidly constructed to support up to 275 pounds in weight
* Five independently rotating casters on each leg offer effortless mobility for smooth and easy movement
* The chair's soft-touch ivory fabric, crafted from 100% polyester ensures plush comfort and a luxurious dining experience, exceptional protection, fade-resistance, and easy maintenance for long-lasting beauty and convenience
* Versatile side chair suitable for dining, office, or living areas, serving as a stylish accent piece
* Cleaning Code SW: Spot clean using a small amount of mild dish soap mixed with water. Gently blot the area with a clean, soft cloth-do not saturate. Allow to air dry.
* Available in gray, brown and white fabric"
SS-ANE500WS,"Annie Barrel Chair w/Casters, Eggshell",,,N,Available,"Meet the Annie Velvet Barrel Chair in eggshell, where style meets everyday ease. Designed with sleek tuxedo arms and a smooth, curved silhouette, it brings a modern, tailored look to any space. Five independent casters make it easy to move wherever you need extra seating. Wrapped in soft cotton-colored polyester fabric, it feels incredibly luxurious to the touch, while the 100% polyester fabric keeps it durable and easy to care for-perfect for real life without sacrificing comfort or sophistication.","* Crafted of 100% polyester fabric in eggshell, pine and poplar solids, engineered wood and foam
* Chair is solidly constructed to support up to 275 pounds in weight
* Five independently rotating casters on each leg offer effortless mobility for smooth and easy movement
* The chair's soft-touch fabric, crafted from 100% polyester ensures plush comfort and a luxurious dining experience, exceptional protection, fade-resistance, and easy maintenance for long-lasting beauty and convenience
* Versatile side chair suitable for dining, office, or living areas, serving as a stylish accent piece
* Cleaning Code SW: Spot clean using a small amount of mild dish soap mixed with water. Gently blot the area with a clean, soft cloth-do not saturate. Allow to air dry.
* Available in gray, brown and white fabric"
SS-ANE500GS,Annie Gray Velvet Barrel Chair w/Casters,,,N,Available,"Meet the Annie Gray Velvet Barrel Chair, where style meets everyday ease. Designed with sleek tuxedo arms and a smooth, curved silhouette, it brings a modern, tailored look to any space. Four independent casters make it easy to move wherever you need extra seating. Wrapped in soft gray velvet, it feels incredibly luxurious to the touch, while the 100% polyester fabric keeps it durable and easy to care for-perfect for real life without sacrificing comfort or sophistication.","* Crafted of 100% polyester velvet fabric in gray, pine and poplar solids, engineered wood and foam
* Chair is solidly constructed to support up to 275 pounds in weight
* Five independently rotating casters on each leg offer effortless mobility for smooth and easy movement
* The chair's soft-touch, breathable velvet, crafted from 100% polyester ensures plush comfort and a luxurious dining experience, exceptional protection, fade-resistance, and easy maintenance for long-lasting beauty and convenience
* Versatile side chair suitable for dining, office, or living areas, serving as a stylish accent piece
* Cleaning Code SW: Spot clean using a small amount of mild dish soap mixed with water. Gently blot the area with a clean, soft cloth-do not saturate. Allow to air dry.
* Available in gray, brown and white fabric"
SS-CONROE-PWR-RECL,Conroe Power Recliner,,,N,Available,"The Conroe Dual-Power Recliner in Cobblestone blends modern style with personalized comfort in a streamlined silhouette. Upholstered in a light tan Cobblestone fabric, it offers a warm, versatile look that fits easily into a variety of spaces. Discreet inner-arm controls allow you to independently adjust the power headrest and footrest for a fully customized lounging experience. Built with a 100% polyester cover, a durable furniture-grade plywood frame, and supportive sinuous wire springs, this recliner is designed for lasting comfort and everyday use.","* Crafted of solid Asian hardwoods, engineered woods, foam and 100% polyester cover
* Dual-power reclining allows you to customize your comfort with independent headrest and footrest controls, plus a convenient home button to reset the seat, located conveniently in-between seats
* Sinuous Spring construction ensures even weight distribution, preventing the formation of sagging spots for consistent support for all seats.
* 100% Kiln Dried Furniture-Grade Plywood frame
* Fiber filled back provides contoured support, enhanced relaxation and resilience in an allergy-friendly fill
* 2.0 Density Foam (in seat cushions) - Inner Bagged & Baffled Fiber Fill to retain shape in seat backs
* Durable 100% polyester cover resists wear, stains, and wrinkles while maintaining a soft, comfortable feel for everyday use.
* 360 lb. weight capacity ensures durability and reliable support.
* Available in Cobblestone or Gray for the Cobblestone Sectional or Gray Sectional."
SS-CONROE-GRAY-PWR-RECL,"Conroe Dual-Power Recliner, Gray",,,N,Available,"The Conroe Dual-Power Recliner in Gray blends modern style with personalized comfort in a streamlined silhouette. Upholstered in a light gray fabric, it offers a warm, versatile look that fits easily into a variety of spaces. Discreet inner-arm controls allow you to independently adjust the power headrest and footrest for a fully customized lounging experience. Built with a 100% polyester cover, a durable furniture-grade plywood frame, and supportive sinuous wire springs, this recliner is designed for lasting comfort and everyday use.","* Crafted of solid Asian hardwoods, engineered woods, foam and 100% polyester cover
* Dual-power reclining allows you to customize your comfort with independent headrest and footrest controls, plus a convenient home button to reset the seat, located conveniently in-between seats
* Sinuous Spring construction ensures even weight distribution, preventing the formation of sagging spots for consistent support for all seats.
* 100% Kiln Dried Furniture-Grade Plywood frame
* Fiber filled back provides contoured support, enhanced relaxation and resilience in an allergy-friendly fill
* 2.0 Density Foam (in seat cushions) - Inner Bagged & Baffled Fiber Fill to retain shape in seat backs
* Durable 100% polyester cover resists wear, stains, and wrinkles while maintaining a soft, comfortable feel for everyday use.
* 360 lb. weight capacity ensures durability and reliable support.
* Available in Cobblestone or Gray for the Cobblestone Sectional or Gray Sectional."
