ProductCode,Has1,Has2,Has2T,Has3,Has3T,HasAltview1
SS-GATLIN-PWR-SECT,True,True,True,False,False,True
SS-GATLIN-RECL,False,False,False,False,False,False
SS-GEORGE-ACCENT-CHR,False,False,False,False,False,False
SS-GG850AC,False,False,False,False,False,False
SS-GRA100NC,False,False,False,False,False,False
SS-GRA100NE,False,False,False,False,False,False
SS-GRA100WC,False,False,False,False,False,False
SS-GRA100WE,False,False,False,False,False,False
SS-HEL850KAC,False,False,False,False,False,False
SS-HEL850NAC,False,False,False,False,False,False
SS-HF7272T,False,False,False,False,False,False
SS-HM100C,False,False,False,False,False,False
SS-HM100E,False,False,False,False,False,False
SS-HM100S,False,False,False,False,False,False
SS-HP900CTDT,True,True,True,True,True,True
SS-HP900CTWT,True,True,True,True,True,True
SS-HP900KFBD,True,False,False,False,False,True
SS-HP900KFBW,True,False,False,False,False,True
SS-HP900MRD,True,True,True,True,True,True
SS-HP900MRW,True,True,True,True,True,True
SS-HP900NSD,True,True,True,True,True,True
SS-HP900NSW,True,True,True,True,True,True
SS-HP900QFBD,True,False,False,False,False,True
SS-HP900QFBW,True,False,False,False,False,True
SS-HY500PT,False,False,False,False,False,False
SS-HY500PTB,False,False,False,False,False,False
SS-HY500SV,False,False,False,False,False,False
SS-HY500SVB,False,False,False,False,False,False
SS-IM3500T,False,False,False,False,False,False
SS-JA150C,False,False,False,False,False,False
SS-JA150E,False,False,False,False,False,False
SS-JA300T,False,False,False,False,False,False
SS-JA500C,False,False,False,False,False,False
SS-JA500SV,False,False,False,False,False,False
SS-JA500T,False,False,False,False,False,False
SS-JA5454PTN,False,False,False,False,False,False
SS-JE400C,False,False,False,False,False,False
SS-JE400E,False,False,False,False,False,False
SS-JE400EC,False,False,False,False,False,False
SS-JE400S,False,False,False,False,False,False
SS-JL200CN,False,False,False,False,False,False
SS-JL200EN,False,False,False,False,False,False
SS-JL200SN,False,False,False,False,False,False
SS-JN200B,False,False,False,False,False,False
SS-JN200C,False,False,False,False,False,False
SS-JN200E,False,False,False,False,False,False
SS-JN200ST,False,False,False,False,False,False
SS-JOP100NC,False,False,False,False,False,False
SS-JOP100NE,False,False,False,False,False,False
SS-JOP100NS,False,False,False,False,False,False
SS-JOP500NPT,False,False,False,False,False,False
SS-JOP500NT,False,False,False,False,False,False
SS-KE800C,False,False,False,False,False,False
SS-KE800CG,False,False,False,False,False,False
SS-KE800CL,False,False,False,False,False,False
SS-KE800S,False,False,False,False,False,False
SS-KEILY-BROWN-75LOVE,False,False,False,False,False,False
SS-KEILY-BROWN-86SOFA,True,True,True,False,False,True
SS-KEILY-BROWN-RECL,False,False,False,False,False,False
SS-KEILY-GREY-75LOVE,False,False,False,False,False,False
SS-KEILY-GREY-86SOFA,False,False,False,False,False,False
SS-KEILY-GREY-RECL,False,False,False,False,False,False
SS-KY200WC,False,False,False,False,False,False
SS-KY200WE,False,False,False,False,False,False
SS-LEHI-MANUAL-SECT,False,False,False,False,False,False
SS-LK100CLC,False,False,False,False,False,False
SS-LK100E,False,False,False,False,False,False
SS-LK100S,False,False,False,False,False,False
SS-LK100SV,False,False,False,False,False,False
SS-LK100TV,False,False,False,False,False,False
SS-LM150E,False,False,False,False,False,False
SS-LUNA-CHAR-PWR-LOVE,False,False,False,False,False,False
SS-LUNA-CHAR-PWR-RECL,False,False,False,False,False,False
SS-LUNA-CHAR-PWR-SOFA,True,True,True,False,False,True
SS-LUNA-ICE-PWR-LOVE,False,False,False,False,False,False
SS-LUNA-ICE-PWR-RECL,False,False,False,False,False,False
SS-LUNA-ICE-PWR-SOFA,True,True,True,False,False,False
SS-LX850C,False,False,False,False,False,False
SS-LX850CO,False,False,False,False,False,False
SS-LZ100C,False,False,False,False,False,False
SS-LZ100E,False,False,False,False,False,False
SS-LZ100S,False,False,False,False,False,False
SS-MAR9990TL,False,False,False,False,False,False
SS-MAR9990TS,False,False,False,False,False,False
SS-MARLOW-CHARCOAL-74LOVE,False,False,False,False,False,False
SS-MARLOW-CHARCOAL-83SOFA,False,False,False,False,False,False
SS-MARLOW-CHARCOAL-RECL,False,False,False,False,False,False
SS-MARLOW-SAND-RECL,False,False,False,False,False,False
SS-MM3636TT,False,False,False,False,False,False
SS-MON900CS,True,True,True,True,True,False
SS-MON900DRST,True,True,True,False,False,False
SS-MON900KFB,True,False,False,False,False,False
SS-MON900NSS,True,True,True,False,False,False
SS-MON900QFB,True,False,False,False,False,False
SS-NOAH-GRAY-SLEEPER-SOFA,True,True,True,False,False,True
SS-OLSEN-DOVE-PWR-SOFA,True,True,True,False,False,True
SS-RV900C,True,True,True,True,True,True
SS-RV900DR,True,True,True,False,False,True
SS-RV900KFB,True,False,False,False,False,True
SS-RV900M,True,True,True,False,False,True
SS-RV900NS,True,True,True,False,False,True
SS-RV900QFB,True,False,False,False,False,True
SS-SIG900C,True,True,True,True,True,True
SS-SIG900DR,True,True,True,False,False,True
SS-SIG900KFB,True,False,False,False,False,True
SS-SIG900NS,True,True,True,False,False,True
SS-SIG900QFB,True,False,False,False,False,True
SS-ZENITH-PWR-CONSOLE-SOFA,True,True,True,False,False,True
