code,myName,saranoniTitle,matchScore,closest,productAvailable,optionDiff,descMatchPct,bulletMatchPct,saranoniImages650,myImageCount,notes
SAR-LUSH-XL-LG,Lush XL Blanket,LUSH XL BLANKETS,0.97,,YES,Color: OUT OF STOCK at saranoni (hide): Hazelnut; Hunter; Aubergine,71%,100% of 5 bullets,94,2,
SAR-MNKY-LUSH,Minky/Lush Throw Blanket,ELF™ MINKY/LUSH TODDLER/THROW BLANKET,0.67,,YES,Color: missing on my site: Elf™,34%,no bullets on saranoni,4,1,
SAR-MNKY-LUSH-TOD,Minky/Lush Toddler Blanket,MINKY/LUSH TODDLER BLANKETS,1.05,,YES,,48%,no bullets on saranoni,10,1,
SAR-MNKY-LUSH-XL-LG,Minky/Lush XL Blanket,MINKY/LUSH XL BLANKETS,1.05,,YES,Color: on my site but not saranoni (hide?): Jasmine | Color: OUT OF STOCK at saranoni (hide): Ivy,68%,no bullets on saranoni,13,1,
SAR-MNKY-PLAY-MAT,Minky Play Mat,MINKY PLAY MAT,1.00,,YES,,59%,no bullets on saranoni,14,2,
SAR-MNKY-STR,Minky Stretch Throw Blanket,MINKY STRETCH THROW BLANKETS,1.05,,YES,,30%,no bullets on saranoni,41,2,
SAR-MNKY-STR-LUXE-ROBES,Minky Stretch Luxe Robe,MINKY STRETCH LUXE ROBES,1.05,,YES,,56%,no bullets on saranoni,16,1,
SAR-MNKY-STR-XL-LG,Minky Stretch XL Throw Blanket,MINKY STRETCH XL THROW BLANKETS,1.10,,YES,,29%,no bullets on saranoni,42,2,
SAR-PLEATED-DUST-RUFFLE,Pleated Dust Ruffle,PLEATED DUST RUFFLE,1.00,,YES,,70%,no bullets on saranoni,10,2,
SAR-PLSH-FX-FUR,Plush Faux Fur Throw Blanket,PLUSH FAUX FUR THROW BLANKETS,1.10,,ENTIRE PRODUCT OUT OF STOCK — HIDE,Color: OUT OF STOCK at saranoni (hide): Buttermilk; Sesame,50%,no bullets on saranoni,9,2,
SAR-PTR-RBT-COTTON-MSLN-CRIB,Peter Rabbit™ Cotton Muslin Crib Sheet,PETER RABBIT™ COTTON MUSLIN CRIB SHEETS,1.13,,ENTIRE PRODUCT OUT OF STOCK — HIDE,Color: OUT OF STOCK at saranoni (hide): Girl; Boy,47%,no bullets on saranoni,10,2,
