id,optioncatid,optionsdesc,pricediff,applytoproductcodes
1206,60,Bear,0,SAR-STUFFED-ANML-LVYS
1207,60,Bunny,0,SAR-STUFFED-ANML-LVYS
1208,60,Elephant,0,SAR-STUFFED-ANML-LVYS
1209,60,Puppy,0,SAR-STUFFED-ANML-LVYS
