id,optioncatid,optionsdesc,pricediff
1163,23,Navy Twinkle Star,0
1164,23,Dainty Floral,0
1165,23,Sun and Sea,0
1166,23,Tulip,0
1167,23,Daisy,0
1168,23,Cedar,0
1169,23,Camo,0
1170,23,Flora,0
1171,23,Sea Glass,0
