id,optioncatid,optionsdesc,pricediff,applytoproductcodes
1213,23,Girl,0,"SAR-PTR-RBT-BMBU-RYN-MSLN,SAR-PTR-RBT-BMBU-RYN-MSLN-02"
1214,23,Boy,0,"SAR-PTR-RBT-BMBU-RYN-MSLN,SAR-PTR-RBT-BMBU-RYN-MSLN-02"
