productcode,productname,handle,hidden_on_volusion,reason
SAR-BMBU-RYN-MSLN-PILLOWCA,Bamboo Rayon Muslin Pillowcase Sets,bamboo-rayon-muslin-pillowcase-set,False,All variants unavailable on saranoni.com
SAR-BMBU-RYN-MSLN-QUEEN-KING,Bamboo Rayon Muslin Queen King 4-Layer Quilts,bamboo-rayon-muslin-queen-king-4-layer-quilt,False,All variants unavailable on saranoni.com
SAR-FX-FUR-PILLOWCA,Faux Fur Pillowcases,faux-fur-pillowcase,False,All variants unavailable on saranoni.com
SAR-PLSH-FX-FUR,Plush Faux Fur Throw Blankets,plush-faux-fur-throw-blankets,False,All variants unavailable on saranoni.com
SAR-PTR-RBT-COTTON-MSLN-CRIB,Peter Rabbit Cotton Muslin Crib Sheets,peter-rabbit-cotton-crib-sheets,False,All variants unavailable on saranoni.com
SAR-VERY-HGRY-CAT-MNKY-STR,The Very Hungry Caterpillar Minky Stretch Luxe Blankets,the-very-hungry-caterpillar-minky-stretch-luxe-blankets,True,All variants unavailable on saranoni.com
