ProductCode,OptionIDs,EnableOptions_InventoryControl
SAR-COTTON-MSLN-4-LAYER,"1159,1160,1161,1162",Y
SAR-SATIN-BACK-TOD,"1163,1164,1165,1166,1167,1168,1169,1170,1171",Y
SAR-WIZARDIN-WORLD-CHARM,"1202,1203,1204,1205",Y
SAR-HP-HP-ICONS-MNKY-LUSH,"1202,1203,1204,1205",Y
